日付,体重,メモ,体脂肪率
2014/6/1,71.1,,20.00%
2014/6/2,71.1,,19.00%
2014/6/3,70.9,,
2014/6/4,70.9,,
2014/6/5,69.8,,
2014/6/6,71.7,,
2014/6/7,71.3,,
2014/6/8,72.2,,
2014/6/9,72.8,,
2014/6/10,71.4,,
2014/6/11,70.6,,
2014/6/12,70.3,,
2014/6/13,70.2,,
2014/6/14,70,,
2014/6/15,70.2,,
2014/6/16,71.3,,
2014/6/17,71.1,,
2014/6/18,70.9,,
2014/6/19,70.5,,
2014/6/20,71.4,,
2014/6/21,70.9,,
2014/6/22,71.3,,
2014/6/23,71.1,,
2014/6/24,70.6,,
2014/6/25,70.5,,
2014/6/27,72.7,,
2014/6/28,71.1,,
2014/6/29,70.6,,
2014/6/30,70.9,,
2014/7/1,70.8,,
2014/7/2,71.1,,
2014/7/3,71.9,,
2014/7/4,70.5,,
2014/7/5,70.6,,
2014/7/6,71.4,,
2014/7/7,71.1,,
2014/7/8,71.4,,
2014/7/9,70.7,,
2014/7/10,71.5,,
2014/7/11,71.2,,
2014/7/12,71.7,,
2014/7/13,71.2,,
2014/7/14,71.2,,
2014/7/15,70.6,,
2014/7/16,70.3,,
2014/7/17,70.7,,
2014/7/18,71.9,,
2014/7/19,72.1,,
2014/7/20,71.7,,
2014/7/21,72,,
2014/7/22,71.8,,
2014/7/23,71.9,,
2014/7/24,72.7,,
2014/7/25,70.9,,
2014/7/26,71.4,,
2014/7/27,71.5,,
2014/7/28,71.5,,
2014/7/29,71.2,,
2014/7/30,69.8,,
2014/7/31,70.9,,
2014/8/1,70.4,,
2014/8/2,72.5,,
2014/8/3,72.1,,
2014/8/4,70.4,,
2014/8/5,69.9,,
2014/8/6,70.3,,
2014/8/7,71.6,,
2014/8/8,71.4,,
2014/8/9,70.9,,
2014/8/10,70.6,,
2014/8/11,69.9,,
2014/8/12,70.7,,
2014/8/13,70.8,,
2014/8/14,70.9,,
2014/8/15,71.4,,
2014/8/16,71.2,,
2014/8/17,71.4,,
2014/8/18,70.8,,
2014/8/19,69.9,,
2014/8/20,71.5,,
2014/8/21,70.1,,
2014/8/22,69.1,,
2014/8/23,70.9,,
2014/8/24,70.8,,
2014/8/25,70.6,,
2014/8/26,70.9,,
2014/8/27,70.1,,
2014/8/28,69.4,,
2014/8/29,69.1,,
2014/8/30,71.2,,
2014/8/31,71.9,,
2014/9/1,70.5,,
2014/9/2,70.4,,
2014/9/3,69.5,,
2014/9/4,70.7,,
2014/9/5,69.8,,
2014/9/6,70.7,,
2014/9/7,71.5,,
2014/9/8,70.2,,
2014/9/10,72.4,,
2014/9/11,70.5,,
2014/9/13,71,,
2014/9/14,70.8,,
2014/9/15,70.5,,
2014/9/16,69.8,,
2014/9/17,69.8,,
2014/9/18,70,,
2014/9/19,69.9,,
2014/9/20,70.9,,
2014/9/21,70.9,,
2014/9/22,70.1,,
2014/9/23,71.7,,
2014/9/24,70.3,,
2014/9/25,70,,
2014/9/26,70.5,,
2014/9/27,70.8,,
2014/9/28,71,,
2014/9/29,70.3,,
2014/9/30,70,,
2014/10/1,69.9,,
2014/10/2,69.6,,
2014/10/3,69.8,,
2014/10/5,70.9,,
2014/10/6,69.4,,
2014/10/7,69.6,,
2014/10/8,71.6,,
2014/10/9,71.3,,
2014/10/10,69.3,,
2014/10/11,68.9,,
2014/10/12,69.9,,
2014/10/13,70.9,,
2014/10/14,69.4,,
2014/10/15,69.4,,
2014/10/16,69.1,,
2014/10/17,70.7,,
2014/10/18,69.9,,
2014/10/19,70.2,,
2014/10/20,70.3,,
2014/10/21,70.4,,
2014/10/22,71,,
2014/10/23,69.4,,
2014/10/24,70,,
2014/10/25,70.5,,
2014/10/26,71.4,,
2014/10/27,69.9,,
2014/10/28,70.8,,
2014/10/30,70.4,,
2014/11/1,71.5,,
2014/11/3,71.8,,
2014/11/4,70.6,,
2014/11/5,70.3,,
2014/11/6,69.7,,
2014/11/8,71.4,,
2014/11/9,70.3,,
2014/11/10,69,,
2014/11/11,69.2,,
2014/11/12,69.1,,
2014/11/13,69.7,,
2014/11/14,69.6,,
2014/11/15,70.8,,
2014/11/16,71.2,,
2014/11/17,70.9,,
2014/11/19,71,,
2014/11/21,69.9,,
2014/11/23,69.2,,
2014/11/24,70.5,,
2014/11/25,68.9,,
2014/11/26,69.6,,
2014/11/28,68.6,,
2014/12/1,69.3,,
2014/12/3,70.6,,
2014/12/4,69.8,,
2014/12/5,67.9,,
2014/12/6,69.7,,
2014/12/7,68.3,,
2014/12/12,69.1,,
